Month,Day,Year,Temp,TimeStamp
1,1,1995,72.4,1995-01-01
1,2,1995,73.5,1995-01-02
1,3,1995,72.6,1995-01-03
1,4,1995,75.2,1995-01-04
1,5,1995,74.8,1995-01-05
1,6,1995,76.4,1995-01-06
1,7,1995,78.4,1995-01-07
1,8,1995,78.6,1995-01-08
1,9,1995,78.1,1995-01-09
1,10,1995,79.3,1995-01-10
1,11,1995,77.9,1995-01-11
1,12,1995,79.0,1995-01-12
1,13,1995,73.4,1995-01-13
1,14,1995,76.7,1995-01-14
1,15,1995,73.7,1995-01-15
1,16,1995,77.0,1995-01-16
1,17,1995,71.1,1995-01-17
1,18,1995,72.6,1995-01-18
1,19,1995,76.1,1995-01-19
1,20,1995,75.7,1995-01-20
1,21,1995,74.2,1995-01-21
1,22,1995,74.3,1995-01-22
1,23,1995,74.8,1995-01-23
1,24,1995,75.1,1995-01-24
1,25,1995,75.0,1995-01-25
1,26,1995,76.7,1995-01-26
1,27,1995,75.8,1995-01-27
1,28,1995,74.7,1995-01-28
1,29,1995,75.1,1995-01-29
1,30,1995,77.2,1995-01-30
1,31,1995,77.9,1995-01-31
2,1,1995,77.9,1995-02-01
2,2,1995,76.8,1995-02-02
2,3,1995,78.2,1995-02-03
2,4,1995,78.2,1995-02-04
2,5,1995,78.9,1995-02-05
2,6,1995,78.8,1995-02-06
2,7,1995,76.9,1995-02-07
2,8,1995,76.8,1995-02-08
2,9,1995,77.8,1995-02-09
2,10,1995,77.9,1995-02-10
2,11,1995,77.7,1995-02-11
2,12,1995,77.1,1995-02-12
2,13,1995,76.6,1995-02-13
2,14,1995,76.9,1995-02-14
2,15,1995,77.3,1995-02-15
2,16,1995,79.7,1995-02-16
2,17,1995,80.9,1995-02-17
2,18,1995,81.9,1995-02-18
2,19,1995,81.9,1995-02-19
2,20,1995,81.2,1995-02-20
2,21,1995,80.2,1995-02-21
2,22,1995,80.2,1995-02-22
2,23,1995,79.5,1995-02-23
2,24,1995,80.6,1995-02-24
2,25,1995,79.8,1995-02-25
2,26,1995,78.7,1995-02-26
2,27,1995,81.0,1995-02-27
2,28,1995,80.2,1995-02-28
3,1,1995,80.3,1995-03-01
3,2,1995,80.6,1995-03-02
3,3,1995,80.8,1995-03-03
3,4,1995,80.6,1995-03-04
3,5,1995,82.4,1995-03-05
3,6,1995,81.2,1995-03-06
3,7,1995,79.6,1995-03-07
3,8,1995,80.4,1995-03-08
3,9,1995,80.2,1995-03-09
3,10,1995,80.7,1995-03-10
3,11,1995,82.1,1995-03-11
3,12,1995,82.2,1995-03-12
3,13,1995,81.5,1995-03-13
3,14,1995,82.0,1995-03-14
3,15,1995,81.4,1995-03-15
3,16,1995,81.8,1995-03-16
3,17,1995,81.0,1995-03-17
3,18,1995,82.5,1995-03-18
3,19,1995,83.8,1995-03-19
3,20,1995,82.4,1995-03-20
3,21,1995,81.6,1995-03-21
3,22,1995,81.8,1995-03-22
3,23,1995,83.7,1995-03-23
3,24,1995,83.3,1995-03-24
3,25,1995,84.0,1995-03-25
3,26,1995,84.2,1995-03-26
3,27,1995,82.6,1995-03-27
3,28,1995,84.2,1995-03-28
3,29,1995,-99.0,1995-03-29
3,30,1995,85.1,1995-03-30
3,31,1995,84.3,1995-03-31
4,1,1995,84.7,1995-04-01
